City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Hobyo,SO,83.46,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
436,Kashi,CN,80.49,clear sky,39.4547,75.9797,帕米尔青年旅舍
439,Banjar,ID,86.49,overcast clouds,-8.19,114.9675,The Hamsa Resort
448,Matara,LK,86.65,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
453,Biu,NG,79.23,overcast clouds,10.6129,12.1946,Emir's Palace
455,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
456,Chardara,KZ,77.45,clear sky,41.2547,67.9692,Жанаргул
459,Eyl,SO,84.43,light rain,7.9803,49.8164,Amiin Hotel
460,Srandakan,ID,85.53,overcast clouds,-7.9386,110.2506,Puri Brata
474,Mudigere,IN,80.28,scattered clouds,13.1333,75.6333,MoonLight Homestay
475,Akyab,MM,87.22,overcast clouds,20.15,92.9,Hotel Memory
480,Puerto Colombia,CO,82.49,few clouds,10.9878,-74.9547,Hotel El Emigrante
482,Alyangula,AU,82.83,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
490,Najran,SA,81.72,few clouds,17.4924,44.1277,محمد هادي ال فطيح
499,Micheweni,TZ,78.4,light rain,-4.9667,39.8333,
501,Kalmunai,LK,84.29,overcast clouds,7.4167,81.8167,VS Villa
512,Tura,IN,88.52,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
515,Kingsville,US,80.69,broken clouds,27.5159,-97.8561,Econo Lodge Kingsville
516,Calabozo,VE,75.7,broken clouds,8.9242,-67.4293,Hotel Giardini
520,Maragogi,BR,76.42,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
523,Meadow Lake,US,76.71,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
527,Zaraza,VE,79.05,overcast clouds,9.3503,-65.3245,Hotel Zaraza
528,Ban Nahin,LA,76.41,overcast clouds,18.2418,104.2122,
529,Bac Lieu,VN,84.61,heavy intensity rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
535,Pahrump,US,77.05,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
536,Trat,TH,85.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
538,Kudahuvadhoo,MV,84.43,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
541,Jieshi,CN,82.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
544,Bitung,ID,88.65,broken clouds,1.4451,125.1824,K2 Lembeh
545,Akdepe,TM,75.38,light rain,42.0551,59.3788,
547,Bandarbeyla,SO,83.26,overcast clouds,9.4942,50.8122,JABIR HOTEL
549,Tuy Hoa,VN,85.03,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
550,Batticaloa,LK,84.63,overcast clouds,7.7102,81.6924,Grand Star Guest House
554,Poum,NC,78.4,scattered clouds,-20.2333,164.0167,
555,Orange Walk,BZ,76.05,few clouds,17.8333,-88.8333,
559,Brownsville,US,81.09,broken clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
564,Languyan,PH,84.61,overcast clouds,5.2618,120.0807,
565,Praxedis Guerrero,MX,79.0,clear sky,31.3667,-106.0167,Congregación placitas de Otero
568,Nishihara,JP,80.26,overcast clouds,26.1842,127.7558,Minshuku Agaihama
569,Bengkulu,ID,82.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
571,Taitung,TW,82.67,moderate rain,22.7583,121.1444,Taitung Bali Suites Hotel
573,Koungheul,SN,81.46,scattered clouds,13.9833,-14.8,
575,Xichang,CN,78.6,few clouds,27.8964,102.2634,Xichang ibis Hotel
578,Copperas Cove,US,82.6,clear sky,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
583,Thinadhoo,MV,83.97,scattered clouds,0.5333,72.9333,
590,Blackwater,AU,81.09,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
593,Champerico,GT,83.62,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
594,Ati,TD,86.32,overcast clouds,13.2154,18.3353,
597,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
600,Tautira,PF,81.01,clear sky,-17.7333,-149.15,Pension Oaoa
602,Limbe,CM,78.1,overcast clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
607,Bo Phloi,TH,87.13,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
608,Barranco,PA,78.17,scattered clouds,9.5167,-82.7,Casa doña Delfina Jiménez
621,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
622,Gizo,SB,84.33,light rain,-8.103,156.8419,Imagination Island
623,Ailigandi,PA,80.13,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
625,Nioro,GM,78.58,clear sky,13.35,-15.75,
626,Jiangyou,CN,77.23,broken clouds,31.7667,104.7167,Shangping Shuyuan Inn
627,Susangerd,IR,76.55,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
629,Arki,IN,86.56,clear sky,31.15,76.9667,Hotel Palace View
631,Mersing,MY,85.53,overcast clouds,2.4312,103.8405,Timotel Hotel
636,Cururupu,BR,75.27,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
638,Luwuk,ID,85.75,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
