City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Centralia,US,46.7162,-122.9543,53.01,77,75,9.22,light rain
173,Gat,IL,31.61,34.7642,66.4,39,2,4.5,clear sky
174,Hervey Bay,AU,-25.2986,152.8535,71.73,83,100,10.13,moderate rain
175,Nantucket,US,41.2835,-70.0995,46.54,67,0,20.71,clear sky
176,Lazaro Cardenas,MX,17.9583,-102.2,76.75,73,0,5.99,clear sky
177,Mitu,CO,1.1983,-70.1733,70.74,99,95,1.1,overcast clouds
178,Ensley,US,30.5188,-87.2728,75.6,89,0,4.61,clear sky
179,Utica,US,43.1009,-75.2327,50.11,69,48,4.12,scattered clouds
180,Pasni,PK,25.2631,63.471,81.25,80,0,12.39,clear sky
181,Mehamn,NO,71.0357,27.8492,31.91,93,100,14.18,light snow
182,Salalah,OM,17.0151,54.0924,82.49,74,20,2.3,few clouds
183,Quesnel,CA,52.9999,-122.5029,45.1,76,75,2.3,broken clouds
184,Yerbogachen,RU,61.2767,108.0108,29.44,71,100,8.93,overcast clouds
185,Nelson Bay,AU,-32.7167,152.15,68.09,73,0,3.0,clear sky
186,Leh,IN,34.1667,77.5833,46.71,46,5,3.06,clear sky
187,Kainantu,PG,-6.2887,145.8655,74.79,62,86,5.79,overcast clouds
188,Chandbali,IN,20.7833,86.7667,84.83,72,100,6.22,overcast clouds
189,Ballina,AU,-28.8667,153.5667,64.02,95,100,11.39,light rain
190,Escarcega,MX,18.6089,-90.7454,87.69,54,77,4.05,broken clouds
191,Elmadag,TR,39.9208,33.2308,45.34,81,100,3.0,overcast clouds
192,Acapulco,MX,16.8634,-99.8901,79.92,74,2,5.14,clear sky
193,Necochea,AR,-38.5473,-58.7368,59.02,80,68,11.45,broken clouds
194,Tingi,TZ,-11.3,35.0333,58.8,87,84,2.89,broken clouds
195,Severo-Kurilsk,RU,50.6789,156.125,38.28,97,100,16.96,light rain
196,Skjervoy,NO,70.0311,20.9714,32.0,66,100,21.61,overcast clouds
197,Teruel,ES,40.6667,-0.6667,45.97,72,8,2.84,clear sky
198,Talas,TR,38.6908,35.5538,39.87,93,40,0.0,scattered clouds
199,Pilar,BR,-9.5972,-35.9567,73.33,93,25,2.51,scattered clouds
200,Balkanabat,TM,39.5108,54.3671,58.15,73,30,11.52,scattered clouds
201,Olafsvik,IS,64.8945,-23.7142,42.84,93,100,18.72,light rain
202,Turukhansk,RU,65.8167,87.9833,22.06,82,39,6.46,scattered clouds
