City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Mahebourg,MU,2022-05-07 04:16:21,-20.4081,57.7,79.25,83,40,11.5
88,Dikson,RU,2022-05-07 04:16:22,73.5069,80.5464,18.73,88,98,11.81
89,Yellowknife,CA,2022-05-07 04:17:22,62.456,-114.3525,46.56,61,75,18.01
90,Leme,BR,2022-05-07 04:15:35,-22.1856,-47.3903,53.31,97,1,4.18
91,Libreville,GA,2022-05-07 04:13:03,0.3925,9.4537,77.56,88,100,2.06
92,Skjervoy,NO,2022-05-07 04:17:23,70.0311,20.9714,44.6,87,98,20.45
93,Tiarei,PF,2022-05-07 04:17:23,-17.5333,-149.3333,78.82,79,16,6.58
94,New Norfolk,AU,2022-05-07 04:17:23,-42.7826,147.0587,53.1,81,100,8.99
95,Hambantota,LK,2022-05-07 04:17:24,6.1241,81.1185,87.06,69,17,13.06
96,Cidreira,BR,2022-05-07 04:17:24,-30.1811,-50.2056,60.82,72,85,1.32
97,Alacranes,CU,2022-05-07 04:17:24,22.7675,-81.5675,72.09,85,18,3.6
98,Barcelona,ES,2022-05-07 04:17:25,41.3888,2.159,62.55,63,20,8.05
99,Hasaki,JP,2022-05-07 04:17:25,35.7333,140.8333,70.2,80,44,13.85
100,Port Alfred,ZA,2022-05-07 04:17:26,-33.5906,26.891,61.18,88,86,1.01
101,Poum,NC,2022-05-07 04:17:26,-20.2333,164.0167,79.3,68,7,17.11
102,Karratha,AU,2022-05-07 04:17:26,-20.7377,116.8463,83.91,40,0,19.75
103,Baoqing,CN,2022-05-07 04:12:40,46.3317,132.2111,52.79,35,100,13.82
104,Shimoda,JP,2022-05-07 04:17:27,34.6667,138.95,70.16,79,84,11.5
105,Georgetown,MY,2022-05-07 04:17:27,5.4112,100.3354,89.55,71,40,8.05
106,Satis,RU,2022-05-07 04:17:28,54.9229,43.2298,44.65,57,9,7.05
107,Torbay,CA,2022-05-07 04:17:28,47.6666,-52.7314,34.75,90,100,10.36
108,Maldonado,UY,2022-05-07 04:17:28,-34.6667,-54.9167,51.19,88,0,3.8
109,Barrow,US,2022-05-07 04:17:29,71.2906,-156.7887,21.22,93,100,19.57
110,Grand Gaube,MU,2022-05-07 04:14:09,-20.0064,57.6608,79.38,64,0,8.99
111,Guerrero Negro,MX,2022-05-07 04:17:29,27.9769,-114.0611,60.87,86,1,12.08
112,Puerto Escondido,MX,2022-05-07 04:17:29,15.85,-97.0667,81.27,63,2,2.37
113,Noumea,NC,2022-05-07 04:17:30,-22.2763,166.4572,82.0,99,28,16.71
114,Tasiilaq,GL,2022-05-07 04:17:30,65.6145,-37.6368,24.96,60,88,4.94
115,Walvis Bay,NA,2022-05-07 04:17:30,-22.9575,14.5053,56.08,100,0,8.05
116,Kaitangata,NZ,2022-05-07 04:17:31,-46.2817,169.8464,61.99,69,100,3.56
117,Tiksi,RU,2022-05-07 04:17:31,71.6872,128.8694,18.16,82,10,18.63
118,Phonhong,LA,2022-05-07 04:17:32,18.5007,102.4166,78.26,81,97,0.94
119,Arlit,NE,2022-05-07 04:17:32,18.7369,7.3853,91.45,16,100,15.28
120,Lorengau,PG,2022-05-07 04:17:33,-2.0226,147.2712,83.88,80,62,9.73
121,Westport,US,2022-05-07 04:16:30,41.1415,-73.3579,52.27,95,100,6.91
122,Yantongshan,CN,2022-05-07 04:17:33,43.2919,126.0094,56.5,21,55,17.54
123,Ambilobe,MG,2022-05-07 04:17:33,-13.2,49.05,73.02,83,1,2.53
124,Husavik,IS,2022-05-07 04:17:34,66.0449,-17.3389,34.57,74,100,11.39
125,Manaus,BR,2022-05-07 04:14:23,-3.1019,-60.025,77.49,94,40,3.44
126,Upernavik,GL,2022-05-07 04:17:34,72.7868,-56.1549,2.43,83,4,5.93
127,Uyar,RU,2022-05-07 04:17:35,55.81,94.3153,64.8,41,100,21.39
128,Yuzhno-Kurilsk,RU,2022-05-07 04:17:35,44.0306,145.8556,50.11,85,47,16.13
129,Hobart,AU,2022-05-07 04:17:35,-42.8794,147.3294,53.46,91,75,20.71
130,Berlevag,NO,2022-05-07 04:17:36,70.8578,29.0864,39.0,96,100,15.12
131,Bambous Virieux,MU,2022-05-07 04:17:36,-20.3428,57.7575,79.21,83,40,11.5
132,Opotiki,NZ,2022-05-07 04:17:36,-38.0833,177.2833,62.53,59,0,3.13
133,Marshall,US,2022-05-07 04:17:37,34.3834,-86.3333,62.91,87,100,9.22
134,Shingu,JP,2022-05-07 04:17:37,33.7333,135.9833,69.62,74,84,7.54
135,Kawalu,ID,2022-05-07 04:18:37,-7.3817,108.2082,85.39,68,94,4.09
136,Sisophon,KH,2022-05-07 04:18:38,13.5859,102.9737,88.75,61,98,8.1
137,Bonavista,CA,2022-05-07 04:18:38,48.6499,-53.1147,32.54,81,80,17.25
138,Cherskiy,RU,2022-05-07 04:18:39,68.75,161.3,32.79,100,100,2.48
139,Ilave,PE,2022-05-07 04:18:39,-16.0833,-69.6667,37.27,69,0,3.69
140,Lagoa,PT,2022-05-07 04:18:39,39.05,-27.9833,59.52,70,39,5.03
141,Shimanovsk,RU,2022-05-07 04:18:40,52.0,127.7,51.53,19,24,13.82
142,Ariquemes,BR,2022-05-07 04:18:40,-9.9133,-63.0408,72.25,89,0,3.0
143,Lebu,CL,2022-05-07 04:18:41,-37.6167,-73.65,51.48,93,69,7.38
144,Maua,BR,2022-05-07 04:18:41,-23.6678,-46.4614,61.09,86,10,3.74
145,Vila Velha,BR,2022-05-07 04:18:41,-20.3297,-40.2925,75.15,78,75,10.36
146,Isangel,VU,2022-05-07 04:18:42,-19.55,169.2667,79.09,68,8,18.14
147,Vilyuysk,RU,2022-05-07 04:18:42,63.7553,121.6247,41.61,75,100,6.04
148,Wanning,CN,2022-05-07 04:18:42,18.8003,110.3967,80.06,88,84,9.1
149,Aksu,CN,2022-05-07 04:18:43,41.1231,80.2644,79.66,25,60,2.62
150,Tuatapere,NZ,2022-05-07 04:18:43,-46.1333,167.6833,62.02,67,100,7.56
151,Luganville,VU,2022-05-07 04:18:43,-15.5333,167.1667,82.65,66,8,9.24
152,Mabini,PH,2022-05-07 04:18:44,15.6,120.9833,99.75,32,22,8.86
153,Pevek,RU,2022-05-07 04:18:44,69.7008,170.3133,29.5,95,100,4.68
154,Manggar,ID,2022-05-07 04:18:45,-2.8833,108.2667,86.94,68,79,7.18
155,Namatanai,PG,2022-05-07 04:18:45,-3.6667,152.4333,85.1,70,49,10.45
156,Vao,NC,2022-05-07 04:18:45,-22.6667,167.4833,75.36,70,41,21.54
157,Mount Gambier,AU,2022-05-07 04:18:49,-37.8333,140.7667,58.91,67,75,17.27
158,Ingham,US,2022-05-07 04:17:12,42.6,-84.3833,53.78,63,0,9.22
159,Saint-Francois,FR,2022-05-07 04:18:49,46.4154,3.9054,42.67,100,40,2.3
160,Vestmannaeyjar,IS,2022-05-07 04:18:50,63.4427,-20.2734,41.77,64,99,10.98
161,Quelimane,MZ,2022-05-07 04:18:50,-17.8786,36.8883,67.95,94,20,0.0
162,Iqaluit,CA,2022-05-07 04:18:51,63.7506,-68.5145,10.13,79,20,12.66
163,Narsaq,GL,2022-05-07 04:18:51,60.9167,-46.05,37.62,94,100,5.97
